Fecha/Hora,Equipo 1,Equipo 2,Pronóstico,Probabilidad Equipo 1,Probabilidad Equipo 2,Probabilidad Empate
2026-06-11 15:00,México,Sudáfrica,Gana México,78.48%,1.02%,20.50%
2026-06-11 22:00,Corea del Sur,República Checa,Gana Corea del Sur,53.80%,19.91%,26.29%
2026-06-12 15:00,Canadá,Bosnia y Herzegovina,Gana Canadá,78.05%,1.18%,20.77%
2026-06-12 21:00,Estados Unidos,Paraguay,Gana Estados Unidos,38.44%,33.78%,27.78%
2026-06-13 15:00,Catar,Suiza,Gana Suiza,0.71%,79.42%,19.87%
2026-06-13 18:00,Brasil,Marruecos,Gana Brasil,64.89%,10.28%,24.83%
2026-06-13 21:00,Haití,Escocia,Gana Escocia,1.07%,78.35%,20.58%
2026-06-14 00:00,Australia,Turquía,Gana Turquía,11.34%,63.63%,25.03%
2026-06-14 13:00,Alemania,Curazao,Gana Alemania,83.98%,0.02%,16.00%
2026-06-14 16:00,Países Bajos,Japón,Gana Países Bajos,60.20%,14.28%,25.52%
2026-06-14 19:00,Costa de Marfil,Ecuador,Gana Ecuador,7.67%,68.10%,24.23%
2026-06-14 22:00,Suecia,Túnez,Gana Suecia,65.05%,10.16%,24.79%
2026-06-15 12:00,España,Cabo Verde,Gana España,83.99%,0.01%,16.00%
2026-06-15 15:00,Bélgica,Egipto,Gana Bélgica,71.06%,5.39%,23.55%
2026-06-15 18:00,Arabia Saudí,Uruguay,Gana Uruguay,0.45%,80.49%,19.06%
2026-06-15 21:00,Irán,Nueva Zelanda,Gana Irán,78.64%,0.96%,20.40%
2026-06-16 15:00,Francia,Senegal,Gana Francia,73.48%,3.69%,22.83%
2026-06-16 18:00,Irak,Noruega,Gana Noruega,1.54%,77.20%,21.26%
2026-06-16 21:00,Argentina,Argelia,Gana Argentina,81.95%,0.22%,17.83%
2026-06-17 00:00,Austria,Jordania,Gana Austria,76.47%,1.90%,21.63%
2026-06-17 13:00,Portugal,RD Congo,Gana Portugal,81.81%,0.24%,17.95%
2026-06-17 16:00,Inglaterra,Croacia,Gana Inglaterra,64.85%,10.32%,24.83%
2026-06-17 19:00,Ghana,Panamá,Gana Panamá,8.17%,67.47%,24.36%
2026-06-17 22:00,Uzbekistán,Colombia,Gana Colombia,0.77%,79.23%,20.00%
2026-06-18 12:00,República Checa,Sudáfrica,Gana República Checa,63.34%,11.59%,25.07%
2026-06-18 15:00,Suiza,Bosnia y Herzegovina,Gana Suiza,81.23%,0.32%,18.45%
2026-06-18 18:00,Canadá,Catar,Gana Canadá,75.23%,2.59%,22.18%
2026-06-18 21:00,México,Corea del Sur,Gana México,62.83%,12.02%,25.15%
2026-06-19 15:00,Estados Unidos,Australia,Gana Australia,34.34%,37.82%,27.84%
2026-06-19 18:00,Escocia,Marruecos,Gana Marruecos,4.79%,71.89%,23.32%
2026-06-19 21:00,Brasil,Haití,Gana Brasil,83.99%,0.01%,16.00%
2026-06-20 00:00,Turquía,Paraguay,Gana Turquía,65.98%,9.39%,24.63%
2026-06-20 13:00,Países Bajos,Suecia,Gana Países Bajos,78.46%,1.02%,20.52%
2026-06-20 16:00,Alemania,Costa de Marfil,Gana Alemania,75.90%,2.21%,21.89%
2026-06-20 22:00,Ecuador,Curazao,Gana Ecuador,83.93%,0.07%,16.00%
