Fecha/Hora,Equipo 1,Equipo 2,Pronóstico,Probabilidad Equipo 1,Probabilidad Equipo 2
2026-06-28 15:00,Corea del Sur,Canadá,Clasifica Canadá,24.94%,75.06%
2026-06-28 21:00,México,Estados Unidos,Clasifica México,99.57%,0.43%
2026-06-29 15:00,Alemania,República Checa,Clasifica Alemania,99.98%,0.02%
2026-06-29 18:00,Países Bajos,Marruecos,Clasifica Países Bajos,95.82%,4.18%
2026-06-29 21:00,Ecuador,Japón,Clasifica Japón,45.20%,54.80%
2026-06-30 15:00,Francia,Irán,Clasifica Francia,99.98%,0.02%
2026-06-30 18:00,Senegal,Austria,Clasifica Senegal,55.30%,44.70%
2026-06-30 21:00,Argentina,Noruega,Clasifica Argentina,99.96%,0.04%
2026-07-01 15:00,Inglaterra,Costa de Marfil,Clasifica Inglaterra,99.97%,0.03%
2026-07-01 18:00,Portugal,Argelia,Clasifica Portugal,99.99%,0.01%
2026-07-01 21:00,Colombia,Croacia,Clasifica Colombia,68.30%,31.70%
2026-07-02 15:00,Turquía,Suecia,Clasifica Turquía,99.88%,0.12%
2026-07-02 18:00,Suiza,Escocia,Clasifica Suiza,99.91%,0.09%
2026-07-02 21:00,Australia,Marruecos,Clasifica Marruecos,2.68%,97.32%
2026-07-03 15:00,España,Egipto,Clasifica España,99.98%,0.02%
2026-07-03 21:00,Bélgica,Catar,Clasifica Bélgica,100.00%,0.00%
2026-07-04 18:00,Canadá,México,Clasifica México,8.76%,91.24%
2026-07-04 21:00,Alemania,Países Bajos,Clasifica Países Bajos,43.88%,56.12%
2026-07-05 18:00,Japón,Francia,Clasifica Francia,2.75%,97.25%
2026-07-05 21:00,Senegal,Argentina,Clasifica Argentina,0.44%,99.56%
2026-07-06 18:00,Inglaterra,Portugal,Clasifica Inglaterra,58.62%,41.38%
2026-07-06 21:00,Colombia,Turquía,Clasifica Colombia,56.77%,43.23%
2026-07-07 18:00,Suiza,Marruecos,Clasifica Suiza,74.81%,25.19%
2026-07-07 21:00,España,Bélgica,Clasifica España,97.54%,2.46%
2026-07-09 18:00,México,Países Bajos,Clasifica Países Bajos,11.07%,88.93%
2026-07-10 18:00,Francia,Argentina,Clasifica Argentina,43.26%,56.74%
2026-07-11 15:00,Inglaterra,Colombia,Clasifica Inglaterra,90.10%,9.90%
2026-07-11 18:00,Suiza,España,Clasifica España,1.64%,98.36%
2026-07-14 20:00,Países Bajos,Argentina,Clasifica Argentina,21.50%,78.50%
2026-07-15 20:00,Inglaterra,España,Clasifica España,15.33%,84.67%
2026-07-18 16:00,Países Bajos,Inglaterra,Clasifica Inglaterra,41.60%,58.40%
2026-07-19 16:00,Argentina,España,Clasifica España,32.01%,67.99%
